EmpID,EmpFirst,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Phone,Cell,Salary,HourlyRate,Review,Memo
24,Tom,Murphy,OR-1,701543216,1977-06-05,2004-02-16,\N,4007 James White Avenue,Portland,OR,97214,6,5032471355,5037543257,\N,13.00,2008-03-15,\N
25,Felicia,Castro,OR-1,724216452,1980-09-14,2005-03-16,\N,611 Montclaire Street,Portland,OR,97226,6,5037543871,5034757135,\N,12.50,2008-03-15,\N
26,Gene,Chiles,OR-1,954321642,1982-07-05,2004-03-01,\N,2506 Ferguson Lane #411,Portland,OR,97215,6,5032798246,5032467835,\N,12.50,2008-03-01,\N
27,Kirby,Meyer,OR-1,984651357,1980-11-12,2005-05-31,\N,110 Ponderosa,Portland,OR,97209,4,5032716579,5032795132,\N,\N,2007-12-15,\N
28,Jim,Bostic,OR-1,454006543,1979-12-12,2005-07-06,\N,1201 Chestnut Avenue #2,Portland,OR,97211,6,5032715496,5032164573,\N,11.75,2008-07-01,\N
29,Leland,McKeeman,WY-1,963124672,1978-11-01,2004-09-25,\N,79513 Airport Blvd.,Jackson Hole,WY,83005,3,3072462135,3072462465,\N,14.50,2008-09-01,\N
30,Wade,Ragland,WY-1,706324675,1980-03-01,2004-09-25,\N,9714 Circle Drive,Jackson Hole,WY,83005,4,3072749264,3072243241,43500.00,\N,2008-09-01,\N
31,Cynthia,Zucker,WY-1,705315790,1967-08-22,2001-06-22,\N,304 Ridgewood Drive #1,Jackson Hole,WY,83002,6,3075556432,3072465796,\N,11.50,2007-06-01,\N
32,Lisa,Virr,WY-1,421001579,1980-11-28,2006-11-16,\N,10086 Wells Parkway,Jackson Hole,WY,83010,5,3072746313,3072154324,\N,11.50,2007-11-15,\N
33,Shane,Pichardo,WY-1,987465137,1983-12-14,2006-01-29,\N,8301 Alvin High Blvd.,Jackson Hole,WY,83011,6,3075553216,3072468763,\N,11.50,2007-01-15,\N
34,Richard,Pena,WY-1,716543272,1981-02-24,2006-04-26,\N,5713 Mystic Street,Jackson Hole,WY,83012,6,3072456876,3072132762,\N,11.75,2007-11-25,\N
35,Jason,Collins,WY-1,722165711,1980-10-14,2005-08-01,\N,10275 Sam Bass Road,Jackson Hole,WY,83012,6,3072623546,3072664533,\N,11.85,2007-08-01,\N
